culture,dataset_type,language,domain,model,judge_model,total,refusals,non_refusals,hallucinations,hallucinations_not_refused,correct,refusal_rate,hallucination_rate_not_refused,hallucination_rate_all,correct_rate
gujarati,precise,en,Festivals,claude-sonnet-4-6,gpt-4.1,51,0,51,10,10,41,0.0000,0.1961,0.1961,0.8039
gujarati,precise,en,Festivals,command-a,gpt-4.1,51,9,42,20,11,31,0.1765,0.2619,0.3922,0.6078
gujarati,precise,en,Festivals,deepseek-v4-flash,gpt-4.1,51,0,51,11,11,40,0.0000,0.2157,0.2157,0.7843
gujarati,precise,en,Festivals,gpt-5,gpt-4.1,51,0,51,7,7,44,0.0000,0.1373,0.1373,0.8627
gujarati,precise,en,Festivals,llama-4-maverick,gpt-5.1,51,1,50,23,22,28,0.0196,0.4400,0.4510,0.5490
gujarati,precise,en,Festivals,qwen-mt-plus,gpt-5.1,51,0,51,30,30,21,0.0000,0.5882,0.5882,0.4118
gujarati,precise,en,Festivals,sarvam-105b,gpt-4.1,51,0,51,14,14,37,0.0000,0.2745,0.2745,0.7255
gujarati,precise,en,Food & Cuisine,claude-sonnet-4-6,gpt-4.1,41,0,41,5,5,36,0.0000,0.1220,0.1220,0.8780
gujarati,precise,en,Food & Cuisine,command-a,gpt-4.1,41,2,39,15,14,26,0.0488,0.3590,0.3659,0.6341
gujarati,precise,en,Food & Cuisine,deepseek-v4-flash,gpt-4.1,41,0,41,8,8,33,0.0000,0.1951,0.1951,0.8049
gujarati,precise,en,Food & Cuisine,gpt-5,gpt-4.1,41,0,41,5,5,36,0.0000,0.1220,0.1220,0.8780
gujarati,precise,en,Food & Cuisine,llama-4-maverick,gpt-5.1,41,1,40,16,15,25,0.0244,0.3750,0.3902,0.6098
gujarati,precise,en,Food & Cuisine,qwen-mt-plus,gpt-5.1,41,0,41,33,33,8,0.0000,0.8049,0.8049,0.1951
gujarati,precise,en,Food & Cuisine,sarvam-105b,gpt-4.1,41,0,41,11,11,30,0.0000,0.2683,0.2683,0.7317
gujarati,precise,en,Geography,claude-sonnet-4-6,gpt-4.1,132,0,132,24,24,108,0.0000,0.1818,0.1818,0.8182
gujarati,precise,en,Geography,command-a,gpt-4.1,132,13,119,43,30,89,0.0985,0.2521,0.3258,0.6742
gujarati,precise,en,Geography,deepseek-v4-flash,gpt-4.1,132,2,130,23,21,109,0.0152,0.1615,0.1742,0.8258
gujarati,precise,en,Geography,gpt-5,gpt-4.1,130,1,129,23,22,107,0.0077,0.1705,0.1769,0.8231
gujarati,precise,en,Geography,llama-4-maverick,gpt-5.1,132,2,130,44,42,88,0.0152,0.3231,0.3333,0.6667
gujarati,precise,en,Geography,qwen-mt-plus,gpt-5.1,132,0,132,66,66,66,0.0000,0.5000,0.5000,0.5000
gujarati,precise,en,Geography,sarvam-105b,gpt-4.1,132,2,130,36,34,96,0.0152,0.2615,0.2727,0.7273
gujarati,precise,en,History,claude-sonnet-4-6,gpt-4.1,26,0,26,4,4,22,0.0000,0.1538,0.1538,0.8462
gujarati,precise,en,History,command-a,gpt-4.1,26,2,24,6,4,20,0.0769,0.1667,0.2308,0.7692
gujarati,precise,en,History,deepseek-v4-flash,gpt-4.1,26,1,25,2,2,24,0.0385,0.0800,0.0769,0.9231
gujarati,precise,en,History,gpt-5,gpt-4.1,26,0,26,3,3,23,0.0000,0.1154,0.1154,0.8846
gujarati,precise,en,History,llama-4-maverick,gpt-5.1,26,1,25,5,4,21,0.0385,0.1600,0.1923,0.8077
gujarati,precise,en,History,qwen-mt-plus,gpt-5.1,26,0,26,10,10,16,0.0000,0.3846,0.3846,0.6154
gujarati,precise,en,History,sarvam-105b,gpt-4.1,26,1,25,4,3,22,0.0385,0.1200,0.1538,0.8462
gujarati,precise,en,unknown,gpt-5,gpt-4.1,2,0,2,1,1,1,0.0000,0.5000,0.5000,0.5000
gujarati,precise,gu,ઈતિહાસ,claude-sonnet-4-6,gpt-4.1,26,0,26,4,4,22,0.0000,0.1538,0.1538,0.8462
gujarati,precise,gu,ઈતિહાસ,command-a,gpt-4.1,26,6,20,13,7,13,0.2308,0.3500,0.5000,0.5000
gujarati,precise,gu,ઈતિહાસ,deepseek-v4-flash,gpt-4.1,26,1,25,4,3,22,0.0385,0.1200,0.1538,0.8462
gujarati,precise,gu,ઈતિહાસ,gpt-5,gpt-4.1,26,1,25,4,3,22,0.0385,0.1200,0.1538,0.8462
gujarati,precise,gu,ઈતિહાસ,llama-4-maverick,gpt-5.1,26,0,26,7,7,19,0.0000,0.2692,0.2692,0.7308
gujarati,precise,gu,ઈતિહાસ,qwen-mt-plus,gpt-5.1,26,0,26,14,14,12,0.0000,0.5385,0.5385,0.4615
gujarati,precise,gu,ઈતિહાસ,sarvam-105b,gpt-4.1,26,1,25,3,2,23,0.0385,0.0800,0.1154,0.8846
gujarati,precise,gu,ખોરાક અને ભોજન,claude-sonnet-4-6,gpt-4.1,41,0,41,7,7,34,0.0000,0.1707,0.1707,0.8293
gujarati,precise,gu,ખોરાક અને ભોજન,command-a,gpt-4.1,41,4,37,31,29,10,0.0976,0.7838,0.7561,0.2439
gujarati,precise,gu,ખોરાક અને ભોજન,deepseek-v4-flash,gpt-4.1,41,0,41,4,4,37,0.0000,0.0976,0.0976,0.9024
gujarati,precise,gu,ખોરાક અને ભોજન,gpt-5,gpt-4.1,41,0,41,10,10,31,0.0000,0.2439,0.2439,0.7561
gujarati,precise,gu,ખોરાક અને ભોજન,llama-4-maverick,gpt-5.1,41,0,41,22,22,19,0.0000,0.5366,0.5366,0.4634
gujarati,precise,gu,ખોરાક અને ભોજન,qwen-mt-plus,gpt-5.1,41,0,41,31,31,10,0.0000,0.7561,0.7561,0.2439
gujarati,precise,gu,ખોરાક અને ભોજન,sarvam-105b,gpt-4.1,41,0,41,19,19,22,0.0000,0.4634,0.4634,0.5366
gujarati,precise,gu,તહેવારો,claude-sonnet-4-6,gpt-4.1,51,0,51,16,16,35,0.0000,0.3137,0.3137,0.6863
gujarati,precise,gu,તહેવારો,command-a,gpt-4.1,51,5,46,31,27,20,0.0980,0.5870,0.6078,0.3922
gujarati,precise,gu,તહેવારો,deepseek-v4-flash,gpt-4.1,51,1,50,17,16,34,0.0196,0.3200,0.3333,0.6667
gujarati,precise,gu,તહેવારો,gpt-5,gpt-4.1,51,0,51,11,11,40,0.0000,0.2157,0.2157,0.7843
gujarati,precise,gu,તહેવારો,llama-4-maverick,gpt-5.1,51,0,51,24,24,27,0.0000,0.4706,0.4706,0.5294
gujarati,precise,gu,તહેવારો,qwen-mt-plus,gpt-5.1,51,0,51,33,33,18,0.0000,0.6471,0.6471,0.3529
gujarati,precise,gu,તહેવારો,sarvam-105b,gpt-4.1,51,0,51,16,16,35,0.0000,0.3137,0.3137,0.6863
gujarati,precise,gu,ભૂગોળ,claude-sonnet-4-6,gpt-4.1,132,0,132,23,23,109,0.0000,0.1742,0.1742,0.8258
gujarati,precise,gu,ભૂગોળ,command-a,gpt-4.1,132,23,109,79,56,53,0.1742,0.5138,0.5985,0.4015
gujarati,precise,gu,ભૂગોળ,deepseek-v4-flash,gpt-4.1,132,5,127,28,23,104,0.0379,0.1811,0.2121,0.7879
gujarati,precise,gu,ભૂગોળ,gpt-5,gpt-4.1,132,1,131,30,29,102,0.0076,0.2214,0.2273,0.7727
gujarati,precise,gu,ભૂગોળ,llama-4-maverick,gpt-5.1,132,0,132,54,54,78,0.0000,0.4091,0.4091,0.5909
gujarati,precise,gu,ભૂગોળ,qwen-mt-plus,gpt-5.1,132,0,132,83,83,49,0.0000,0.6288,0.6288,0.3712
gujarati,precise,gu,ભૂગોળ,sarvam-105b,gpt-4.1,132,0,132,36,36,96,0.0000,0.2727,0.2727,0.7273
gujarati,precise,hi,इतिहास,claude-sonnet-4-6,gpt-4.1,26,0,26,4,4,22,0.0000,0.1538,0.1538,0.8462
gujarati,precise,hi,इतिहास,command-a,gpt-4.1,26,1,25,5,4,21,0.0385,0.1600,0.1923,0.8077
gujarati,precise,hi,इतिहास,deepseek-v4-flash,gpt-4.1,26,1,25,4,3,22,0.0385,0.1200,0.1538,0.8462
gujarati,precise,hi,इतिहास,gpt-5,gpt-4.1,26,1,25,3,2,23,0.0385,0.0800,0.1154,0.8846
gujarati,precise,hi,इतिहास,llama-4-maverick,gpt-5.1,26,0,26,5,5,21,0.0000,0.1923,0.1923,0.8077
gujarati,precise,hi,इतिहास,qwen-mt-plus,gpt-5.1,26,0,26,14,14,12,0.0000,0.5385,0.5385,0.4615
gujarati,precise,hi,इतिहास,sarvam-105b,gpt-4.1,26,1,25,4,3,22,0.0385,0.1200,0.1538,0.8462
gujarati,precise,hi,भूगोल,claude-sonnet-4-6,gpt-4.1,132,0,132,28,28,104,0.0000,0.2121,0.2121,0.7879
gujarati,precise,hi,भूगोल,command-a,gpt-4.1,132,20,112,62,42,70,0.1515,0.3750,0.4697,0.5303
gujarati,precise,hi,भूगोल,deepseek-v4-flash,gpt-4.1,132,1,131,25,24,107,0.0076,0.1832,0.1894,0.8106
gujarati,precise,hi,भूगोल,gpt-5,gpt-4.1,132,0,132,21,21,111,0.0000,0.1591,0.1591,0.8409
gujarati,precise,hi,भूगोल,llama-4-maverick,gpt-5.1,132,0,132,41,41,91,0.0000,0.3106,0.3106,0.6894
gujarati,precise,hi,भूगोल,qwen-mt-plus,gpt-5.1,132,2,130,86,84,46,0.0152,0.6462,0.6515,0.3485
gujarati,precise,hi,भूगोल,sarvam-105b,gpt-4.1,132,2,130,41,39,91,0.0152,0.3000,0.3106,0.6894
gujarati,precise,hi,भोजन एवं व्यंजन,claude-sonnet-4-6,gpt-4.1,41,0,41,11,11,30,0.0000,0.2683,0.2683,0.7317
gujarati,precise,hi,भोजन एवं व्यंजन,command-a,gpt-4.1,41,1,40,24,23,17,0.0244,0.5750,0.5854,0.4146
gujarati,precise,hi,भोजन एवं व्यंजन,deepseek-v4-flash,gpt-4.1,41,0,41,10,10,31,0.0000,0.2439,0.2439,0.7561
gujarati,precise,hi,भोजन एवं व्यंजन,gpt-5,gpt-4.1,41,0,41,6,6,35,0.0000,0.1463,0.1463,0.8537
gujarati,precise,hi,भोजन एवं व्यंजन,llama-4-maverick,gpt-5.1,41,0,41,23,23,18,0.0000,0.5610,0.5610,0.4390
gujarati,precise,hi,भोजन एवं व्यंजन,qwen-mt-plus,gpt-5.1,41,0,41,35,35,6,0.0000,0.8537,0.8537,0.1463
gujarati,precise,hi,भोजन एवं व्यंजन,sarvam-105b,gpt-4.1,41,0,41,10,10,31,0.0000,0.2439,0.2439,0.7561
gujarati,precise,hi,समारोह,claude-sonnet-4-6,gpt-4.1,51,0,51,16,16,35,0.0000,0.3137,0.3137,0.6863
gujarati,precise,hi,समारोह,command-a,gpt-4.1,51,14,37,33,19,18,0.2745,0.5135,0.6471,0.3529
gujarati,precise,hi,समारोह,deepseek-v4-flash,gpt-4.1,51,1,50,11,10,40,0.0196,0.2000,0.2157,0.7843
gujarati,precise,hi,समारोह,gpt-5,gpt-4.1,51,1,50,10,9,41,0.0196,0.1800,0.1961,0.8039
gujarati,precise,hi,समारोह,llama-4-maverick,gpt-5.1,51,0,51,26,26,25,0.0000,0.5098,0.5098,0.4902
gujarati,precise,hi,समारोह,qwen-mt-plus,gpt-5.1,51,0,51,34,34,17,0.0000,0.6667,0.6667,0.3333
gujarati,precise,hi,समारोह,sarvam-105b,gpt-4.1,51,1,50,20,19,31,0.0196,0.3800,0.3922,0.6078
tamil,precise,en,Festivals,llama-4-maverick,gpt-5.1,52,0,52,15,15,37,0.0000,0.2885,0.2885,0.7115
tamil,precise,en,Festivals,qwen-mt-plus,gpt-5.1,52,1,51,27,26,25,0.0192,0.5098,0.5192,0.4808
tamil,precise,en,Food & Cuisine,llama-4-maverick,gpt-5.1,33,0,33,14,14,19,0.0000,0.4242,0.4242,0.5758
tamil,precise,en,Food & Cuisine,qwen-mt-plus,gpt-5.1,33,0,33,28,28,5,0.0000,0.8485,0.8485,0.1515
tamil,precise,en,Geography,llama-4-maverick,gpt-5.1,119,1,118,39,38,80,0.0084,0.3220,0.3277,0.6723
tamil,precise,en,Geography,qwen-mt-plus,gpt-5.1,119,5,114,76,71,43,0.0420,0.6228,0.6387,0.3613
tamil,precise,en,History,llama-4-maverick,gpt-5.1,18,0,18,3,3,15,0.0000,0.1667,0.1667,0.8333
tamil,precise,en,History,qwen-mt-plus,gpt-5.1,18,0,18,3,3,15,0.0000,0.1667,0.1667,0.8333
tamil,precise,hi,इतिहास,deepseek-v4-flash,gpt-4.1,18,0,18,1,1,17,0.0000,0.0556,0.0556,0.9444
tamil,precise,hi,इतिहास,llama-4-maverick,gpt-5.1,18,0,18,6,6,12,0.0000,0.3333,0.3333,0.6667
tamil,precise,hi,इतिहास,qwen-mt-plus,gpt-5.1,18,0,18,10,10,8,0.0000,0.5556,0.5556,0.4444
tamil,precise,hi,भूगोल,deepseek-v4-flash,gpt-4.1,119,0,119,25,25,94,0.0000,0.2101,0.2101,0.7899
tamil,precise,hi,भूगोल,llama-4-maverick,gpt-5.1,119,1,118,43,42,76,0.0084,0.3559,0.3613,0.6387
tamil,precise,hi,भूगोल,qwen-mt-plus,gpt-5.1,119,4,115,87,83,32,0.0336,0.7217,0.7311,0.2689
tamil,precise,hi,भोजन एवं व्यंजन,deepseek-v4-flash,gpt-4.1,33,0,33,3,3,30,0.0000,0.0909,0.0909,0.9091
tamil,precise,hi,भोजन एवं व्यंजन,llama-4-maverick,gpt-5.1,33,0,33,20,20,13,0.0000,0.6061,0.6061,0.3939
tamil,precise,hi,भोजन एवं व्यंजन,qwen-mt-plus,gpt-5.1,33,0,33,30,30,3,0.0000,0.9091,0.9091,0.0909
tamil,precise,hi,समारोह,deepseek-v4-flash,gpt-4.1,52,0,52,3,3,49,0.0000,0.0577,0.0577,0.9423
tamil,precise,hi,समारोह,llama-4-maverick,gpt-5.1,52,0,52,18,18,34,0.0000,0.3462,0.3462,0.6538
tamil,precise,hi,समारोह,qwen-mt-plus,gpt-5.1,52,1,51,38,37,14,0.0192,0.7255,0.7308,0.2692
tamil,precise,ta,உணவு & சமையல்,llama-4-maverick,gpt-5.1,33,0,33,21,21,12,0.0000,0.6364,0.6364,0.3636
tamil,precise,ta,உணவு & சமையல்,qwen-mt-plus,gpt-5.1,33,0,33,29,29,4,0.0000,0.8788,0.8788,0.1212
tamil,precise,ta,திருவிழாக்கள்,llama-4-maverick,gpt-5.1,52,0,52,15,15,37,0.0000,0.2885,0.2885,0.7115
tamil,precise,ta,திருவிழாக்கள்,qwen-mt-plus,gpt-5.1,52,0,52,34,34,18,0.0000,0.6538,0.6538,0.3462
tamil,precise,ta,புவியியல்,llama-4-maverick,gpt-5.1,119,0,119,52,52,67,0.0000,0.4370,0.4370,0.5630
tamil,precise,ta,புவியியல்,qwen-mt-plus,gpt-5.1,119,2,117,90,88,29,0.0168,0.7521,0.7563,0.2437
tamil,precise,ta,வரலாறு,llama-4-maverick,gpt-5.1,18,0,18,4,4,14,0.0000,0.2222,0.2222,0.7778
tamil,precise,ta,வரலாறு,qwen-mt-plus,gpt-5.1,18,1,17,11,10,7,0.0556,0.5882,0.6111,0.3889
