output_file,judge_dir,reason
model_outputs_gujarati\nonexistent\en\claude-sonnet-4-6.jsonl,judge_results\guj\en,no matching judge file with identical evaluated rows
model_outputs_gujarati\nonexistent\en\command-a.jsonl,judge_results\guj\en,no matching judge file with identical evaluated rows
model_outputs_gujarati\nonexistent\en\deepseek-v4-flash.jsonl,judge_results\guj\en,no matching judge file with identical evaluated rows
model_outputs_gujarati\nonexistent\en\gemini-2.5-flash.jsonl,judge_results\guj\en,no matching judge file with identical evaluated rows
model_outputs_gujarati\nonexistent\en\gpt-5.jsonl,judge_results\guj\en,no matching judge file with identical evaluated rows
model_outputs_gujarati\nonexistent\en\llama-4-maverick.jsonl,judge_results\guj\en,no matching judge file with identical evaluated rows
model_outputs_gujarati\nonexistent\en\qwen-mt-plus.jsonl,judge_results\guj\en,no matching judge file with identical evaluated rows
model_outputs_gujarati\nonexistent\en\sarvam-105b.jsonl,judge_results\guj\en,no matching judge file with identical evaluated rows
model_outputs_gujarati\nonexistent\gu\claude-sonnet-4-6.jsonl,judge_results\guj\gu,no matching judge file with identical evaluated rows
model_outputs_gujarati\nonexistent\gu\command-a.jsonl,judge_results\guj\gu,no matching judge file with identical evaluated rows
model_outputs_gujarati\nonexistent\gu\deepseek-v4-flash.jsonl,judge_results\guj\gu,no matching judge file with identical evaluated rows
model_outputs_gujarati\nonexistent\gu\gemini-2.5-flash.jsonl,judge_results\guj\gu,no matching judge file with identical evaluated rows
model_outputs_gujarati\nonexistent\gu\gpt-5.jsonl,judge_results\guj\gu,no matching judge file with identical evaluated rows
model_outputs_gujarati\nonexistent\gu\llama-4-maverick.jsonl,judge_results\guj\gu,no matching judge file with identical evaluated rows
model_outputs_gujarati\nonexistent\gu\qwen-mt-plus.jsonl,judge_results\guj\gu,no matching judge file with identical evaluated rows
model_outputs_gujarati\nonexistent\gu\sarvam-105b.jsonl,judge_results\guj\gu,no matching judge file with identical evaluated rows
model_outputs_gujarati\nonexistent\hi\claude-sonnet-4-6.jsonl,judge_results\guj\hi,no matching judge file with identical evaluated rows
model_outputs_gujarati\nonexistent\hi\command-a.jsonl,judge_results\guj\hi,no matching judge file with identical evaluated rows
model_outputs_gujarati\nonexistent\hi\deepseek-v4-flash.jsonl,judge_results\guj\hi,no matching judge file with identical evaluated rows
model_outputs_gujarati\nonexistent\hi\gemini-2.5-flash.jsonl,judge_results\guj\hi,no matching judge file with identical evaluated rows
model_outputs_gujarati\nonexistent\hi\gpt-5.jsonl,judge_results\guj\hi,no matching judge file with identical evaluated rows
model_outputs_gujarati\nonexistent\hi\llama-4-maverick.jsonl,judge_results\guj\hi,no matching judge file with identical evaluated rows
model_outputs_gujarati\nonexistent\hi\qwen-mt-plus.jsonl,judge_results\guj\hi,no matching judge file with identical evaluated rows
model_outputs_gujarati\nonexistent\hi\sarvam-105b.jsonl,judge_results\guj\hi,no matching judge file with identical evaluated rows
model_outputs_gujarati\precise\en\gemini-2.5-flash.jsonl,judge_results\guj\en,no matching judge file with identical evaluated rows
model_outputs_gujarati\precise\gu\gemini-2.5-flash.jsonl,judge_results\guj\gu,no matching judge file with identical evaluated rows
model_outputs_gujarati\precise\hi\gemini-2.5-flash.jsonl,judge_results\guj\hi,no matching judge file with identical evaluated rows
model_outputs_tamil\nonexistent_ta\en\claude-sonnet-4-6.jsonl,judge_results\tam\en,no matching judge file with identical evaluated rows
model_outputs_tamil\nonexistent_ta\en\command-a.jsonl,judge_results\tam\en,no matching judge file with identical evaluated rows
model_outputs_tamil\nonexistent_ta\en\deepseek-v4-flash.jsonl,judge_results\tam\en,no matching judge file with identical evaluated rows
model_outputs_tamil\nonexistent_ta\en\gemini-2.5-flash.jsonl,judge_results\tam\en,no matching judge file with identical evaluated rows
model_outputs_tamil\nonexistent_ta\en\gpt-5.jsonl,judge_results\tam\en,no matching judge file with identical evaluated rows
model_outputs_tamil\nonexistent_ta\en\llama-4-maverick.jsonl,judge_results\tam\en,no matching judge file with identical evaluated rows
model_outputs_tamil\nonexistent_ta\en\qwen-mt-plus.jsonl,judge_results\tam\en,no matching judge file with identical evaluated rows
model_outputs_tamil\nonexistent_ta\en\sarvam-105b.jsonl,judge_results\tam\en,no matching judge file with identical evaluated rows
model_outputs_tamil\nonexistent_ta\hi\claude-sonnet-4-6.jsonl,judge_results\tam\hi,no matching judge file with identical evaluated rows
model_outputs_tamil\nonexistent_ta\hi\command-a.jsonl,judge_results\tam\hi,no matching judge file with identical evaluated rows
model_outputs_tamil\nonexistent_ta\hi\deepseek-v4-flash.jsonl,judge_results\tam\hi,no matching judge file with identical evaluated rows
model_outputs_tamil\nonexistent_ta\hi\gemini-2.5-flash.jsonl,judge_results\tam\hi,no matching judge file with identical evaluated rows
model_outputs_tamil\nonexistent_ta\hi\gpt-5.jsonl,judge_results\tam\hi,no matching judge file with identical evaluated rows
model_outputs_tamil\nonexistent_ta\hi\llama-4-maverick.jsonl,judge_results\tam\hi,no matching judge file with identical evaluated rows
model_outputs_tamil\nonexistent_ta\hi\qwen-mt-plus.jsonl,judge_results\tam\hi,no matching judge file with identical evaluated rows
model_outputs_tamil\nonexistent_ta\hi\sarvam-105b.jsonl,judge_results\tam\hi,no matching judge file with identical evaluated rows
model_outputs_tamil\nonexistent_ta\ta\claude-sonnet-4-6.jsonl,judge_results\tam\ta,no matching judge file with identical evaluated rows
model_outputs_tamil\nonexistent_ta\ta\command-a.jsonl,judge_results\tam\ta,no matching judge file with identical evaluated rows
model_outputs_tamil\nonexistent_ta\ta\deepseek-v4-flash.jsonl,judge_results\tam\ta,no matching judge file with identical evaluated rows
model_outputs_tamil\nonexistent_ta\ta\gemini-2.5-flash.jsonl,judge_results\tam\ta,no matching judge file with identical evaluated rows
model_outputs_tamil\nonexistent_ta\ta\gpt-5.jsonl,judge_results\tam\ta,no matching judge file with identical evaluated rows
model_outputs_tamil\nonexistent_ta\ta\llama-4-maverick.jsonl,judge_results\tam\ta,no matching judge file with identical evaluated rows
model_outputs_tamil\nonexistent_ta\ta\qwen-mt-plus.jsonl,judge_results\tam\ta,no matching judge file with identical evaluated rows
model_outputs_tamil\nonexistent_ta\ta\sarvam-105b.jsonl,judge_results\tam\ta,no matching judge file with identical evaluated rows
model_outputs_tamil\precise_ta\en\claude-sonnet-4-6.jsonl,judge_results\tam\en,no matching judge file with identical evaluated rows
model_outputs_tamil\precise_ta\en\command-a.jsonl,judge_results\tam\en,no matching judge file with identical evaluated rows
model_outputs_tamil\precise_ta\en\deepseek-v4-flash.jsonl,judge_results\tam\en,no matching judge file with identical evaluated rows
model_outputs_tamil\precise_ta\en\gemini-2.5-flash.jsonl,judge_results\tam\en,no matching judge file with identical evaluated rows
model_outputs_tamil\precise_ta\en\gpt-5.jsonl,judge_results\tam\en,no matching judge file with identical evaluated rows
model_outputs_tamil\precise_ta\en\sarvam-105b.jsonl,judge_results\tam\en,no matching judge file with identical evaluated rows
model_outputs_tamil\precise_ta\hi\claude-sonnet-4-6.jsonl,judge_results\tam\hi,no matching judge file with identical evaluated rows
model_outputs_tamil\precise_ta\hi\command-a.jsonl,judge_results\tam\hi,no matching judge file with identical evaluated rows
model_outputs_tamil\precise_ta\hi\gemini-2.5-flash.jsonl,judge_results\tam\hi,no matching judge file with identical evaluated rows
model_outputs_tamil\precise_ta\hi\gpt-5.jsonl,judge_results\tam\hi,no matching judge file with identical evaluated rows
model_outputs_tamil\precise_ta\hi\sarvam-105b.jsonl,judge_results\tam\hi,no matching judge file with identical evaluated rows
model_outputs_tamil\precise_ta\ta\claude-sonnet-4-6.jsonl,judge_results\tam\ta,no matching judge file with identical evaluated rows
model_outputs_tamil\precise_ta\ta\command-a.jsonl,judge_results\tam\ta,no matching judge file with identical evaluated rows
model_outputs_tamil\precise_ta\ta\deepseek-v4-flash.jsonl,judge_results\tam\ta,no matching judge file with identical evaluated rows
model_outputs_tamil\precise_ta\ta\gemini-2.5-flash.jsonl,judge_results\tam\ta,no matching judge file with identical evaluated rows
model_outputs_tamil\precise_ta\ta\gpt-5.jsonl,judge_results\tam\ta,no matching judge file with identical evaluated rows
model_outputs_tamil\precise_ta\ta\sarvam-105b.jsonl,judge_results\tam\ta,no matching judge file with identical evaluated rows
